,len,year,month,gain,annualized_returns
11478,30,1934,7,1070.1203754521084,"[ 13.26898103  19.79869615 -20.96543789 -31.75574079  54.72628558
 -22.25046073  21.07034819 -13.12899836  63.44336508 -27.20689865
  12.87184502   2.40017806 -33.91717181  41.9095064  -25.91367284
  61.18942359 -13.67195479  -2.39805289 -13.56429607  23.02963778
  12.1363558  -15.8144535  -11.49801522  -8.09661038  35.1490259
 -22.35178047  14.98836522 -26.22910016  49.18741084  -9.48671611]"
11479,30,1934,8,1106.7369754691742,"[ 19.00552553  15.90231753 -21.15072709 -22.32417865  18.33339711
 -10.51432853  21.84272215 -15.480234    61.534319   -25.47877511
   7.08838961   6.11723319 -26.91270183  19.37940555 -12.81463219
  30.7554672    7.5248945   -9.95762124 -15.58220393  27.83933496
  12.76619105 -19.72627458 -12.84172784  -4.34202996  35.66361276
 -27.93855285  25.21629454 -25.83159266  39.62720661  -0.94769105]"
11480,30,1934,9,1081.8736790319665,"[ 25.85349248   6.36375509 -19.19950359 -21.60216487  15.65055125
  -5.3801713   14.81986539 -13.47819622  53.54174265 -19.11392684
   5.41939078   1.94011106 -25.10711641  18.09451282  -5.9549516
  25.5010713    3.37979736 -12.09553129 -12.19772018  29.67737314
   8.20899292 -17.55356831 -17.14656275  10.41800833  18.45178533
 -23.42163111  25.8316961  -28.06575312  40.72544084  -5.04672957]"
11481,30,1934,10,1094.4555234643626,"[ 2.62701860e+01  4.70681562e+00 -3.03823233e+01 -4.06435938e-02
  2.25236902e+01 -2.10542656e+01  1.59307465e+01 -9.77065545e+00
  5.32052277e+01 -2.26049996e+01  1.84385986e+01 -2.46791546e+01
  6.33091651e+00  5.38228085e+00 -4.90421485e+00  2.50995855e+01
  2.22432552e-01 -1.49034338e+01 -1.12581498e+01  4.31736297e+01
  3.13910473e+00 -2.52644015e+01 -1.10297071e+01  1.88689290e+01
  3.64934606e+00 -1.73205086e+01  2.73471123e+01 -2.96617837e+01
  4.57171393e+01 -9.07544272e+00]"
11482,30,1934,11,1106.8920987963056,"[ 26.88038417   6.76970991 -43.8921416   52.29693906  -9.90102359
 -14.29516154  10.03560566   5.46713599  27.380545   -13.71111435
  16.52589272 -30.27506556  18.55034641   0.71520643  -5.08117335
  26.98391625  -5.72003793 -12.40136515  -5.08638143  35.06554484
  -3.59713215 -16.27884908 -18.64592347  38.67274512 -10.22158267
 -15.47332508  33.70480053 -34.56769996  57.2211606  -10.81066813]"
11483,30,1934,12,1107.1276125538686,"[ 35.61292568  -3.62236792 -47.52877513  80.3668713  -17.18212014
  -9.01214932  -1.18084726  19.28592368  12.7691777   -4.5994124
  16.6098796  -35.01868157  21.69798024  -3.05172268   6.52396806
  16.59962773  -6.80844847  -4.57893618 -11.23979448  38.3658839
  -2.54477012 -24.34833598 -13.25942504  47.47630342 -16.83664791
 -10.77488413  31.54881492 -33.8276194   42.89388688  -2.92467662]"
11484,30,1935,1,1078.5810635224477,"[ 31.99691289  -3.63397622 -45.530192    74.44637572 -15.108525
 -10.82221761  -2.11309013  30.53268512   6.64694015  -4.40151136
  14.99549956 -33.69276324  14.83295503   2.17411996   9.11941434
   9.50975818  -0.79997234  -6.82068752 -14.23215263  46.22065963
  -8.75950824 -21.14419303 -14.98701569  52.35631718 -17.27977284
 -12.54675103  30.55382716 -30.52811531  35.22536399  -4.58060211]"
11485,30,1935,2,1101.083843208672,"[ 35.54380761  -7.05676705 -44.07607896  64.94843841 -11.01376098
 -10.63819546  -1.01654864  32.90677071   0.27530787  -2.32874695
  16.20407325 -36.30375077  16.36201398   6.5478714    7.55876591
  14.14204056  -9.29546564  -5.80502356 -10.06369425  42.12061461
 -12.09676777 -17.04519925 -11.81183682  48.87868231 -23.26349149
  -0.9901589   11.71082761 -18.12986812  24.35615121  -4.30471465]"
11486,30,1935,3,1101.9865353613973,"[ 3.88719606e+01 -1.03317696e+01 -4.52015451e+01  7.12275476e+01
 -1.14036765e+01 -1.55625129e+01  7.44663839e+00  4.05250840e+01
 -1.30466006e+01  7.75501917e+00  8.57086881e+00 -3.19030790e+01
  2.96955287e+00  1.71715677e+01  1.27926684e+01  9.70807776e+00
 -1.56328178e+01  4.66026749e-02 -7.43149787e+00  3.87353526e+01
 -1.52607937e+01 -1.89751521e+01 -2.75413481e+00  3.91823733e+01
 -2.35887723e+01  9.79517507e+00  7.70762216e-01 -1.64132047e+01
  2.45901144e+01 -4.67302797e+00]"
11487,30,1935,4,1094.875873850612,"[ 36.36172638 -10.5568464  -46.85561606  88.31173723 -15.53805576
 -13.92496365  -0.13431564  61.08094951 -20.00597809   5.33632162
   8.16251508 -30.50347319  10.00300236  10.49172072  13.0657922
   7.12370246 -11.90604204  -1.55448846  -6.11875301  32.50035631
  -6.00123702 -28.62708947   3.36271115  38.60642417 -26.74152522
  19.22709883  -6.4148735  -14.25925509  27.87130834  -8.28768139]"
11488,30,1935,5,1101.4346953712645,"[ 29.93520139 -12.41063226 -41.76656802  64.77629196   6.22210797
 -26.18032979   2.27861415  73.65303257 -28.43892207  14.98565374
   7.91207725 -39.16618656  35.22693488  -7.91174902  24.98394466
   2.66241731 -12.17505094  -4.56356473   7.60451653  20.56876518
  -7.54555619 -26.16210529   0.46158387  42.42475313 -27.72670784
  21.20104958 -12.88397321  -1.67413573  14.54547687  -5.4612022 ]"
11489,30,1935,6,1110.9081521404314,"[ 17.81123949  -5.38971208 -36.86266468  59.19230526 -13.33526553
  -1.93368252  -4.85870868  71.68740284 -31.25553385  19.32350559
   2.25378027 -38.13271144  46.82510847 -18.01411709  36.9050512
  -4.37707144  -9.51592464  -3.88341217  10.65154888  11.63006225
  -6.08945598 -18.59965618  -6.78231099  40.748973   -28.18251476
  26.44784046 -21.62837418  18.16237123   2.92480875  -4.00043749]"
11490,30,1935,7,1046.343596311199,"[ 18.85604716 -12.25247352 -27.93022746  48.57972817 -21.44277269
  21.13654861 -12.77476349  62.6575825  -26.93553853  12.79693219
   2.38551363 -33.80118014  41.74835767 -25.87600091  61.01989337
 -13.62944183  -2.39263302 -13.55306312  23.02646635  12.12698189
 -15.80530177 -11.48881094  -8.08978994  35.12526806 -22.34346459
  14.98649431 -26.22911087  49.18217499  -9.48410233  -7.48125294]"
11491,30,1935,8,1037.9443387901813,"[ 21.80259897 -12.32537005 -17.84250475  13.83981034 -10.58770011
  21.82924096 -15.09384385  60.52263385 -25.20402048   7.00767119
   6.0592888  -26.76747045  19.28412618 -12.79913656  30.64351836
   7.53003092  -9.92486279 -15.5679475   27.8284332   12.75939472
